Case,Activity,Timestamp,Resource,label,Aug,augmented_activity,semantic_reason,resource,case,diagnose
2760925.0,register submission date request,2010-10-04 22:00:00.000,560872.0,deviant,0,,,,,
2760925.0,phase application received,2010-10-07 12:57:14.000,560872.0,deviant,0,,,,,
2771451.0,register submission date request,2010-10-05 22:00:00.000,6.0,deviant,0,,,,,
2771451.0,enter senddate procedure confirmation,2010-10-18 22:00:00.000,2670601.0,deviant,0,,,,,
2771451.0,subcases completeness completed,2010-10-18 22:00:00.000,2670601.0,deviant,0,,,,,
2771451.0,enter senddate acknowledgement,2010-11-17 23:00:00.000,6.0,deviant,0,,,,,
2771451.0,enter senddate retrieve missing data,2010-11-17 23:00:00.000,6.0,deviant,0,,,,,
2771451.0,enter receipt of additional data,2010-11-21 23:00:00.000,6.0,deviant,0,,,,,
2771451.0,enter senddate procedure confirmation,2010-11-23 23:00:00.000,6.0,deviant,0,,,,,
2771451.0,registrer date of publishing received request,2010-11-24 23:00:00.000,6.0,deviant,0,,,,,
2771451.0,enter senddate procedure confirmation,2010-11-25 23:00:00.000,6.0,deviant,0,,,,,
2771451.0,subcases completeness completed,2010-11-25 23:00:00.000,6.0,deviant,0,,,,,
2771451.0,phase application received,2010-11-30 15:21:56.000,6.0,deviant,0,,,,,
2771451.0,reception through OLO,2010-11-30 15:22:02.000,6.0,deviant,0,,,,,
2771451.0,send confirmation receipt,2010-11-30 15:22:02.000,6.0,deviant,0,,,,,
2771451.0,send confirmation receipt,2010-11-30 15:22:26.000,6.0,deviant,0,,,,,
2771451.0,send confirmation receipt,2010-11-30 15:22:26.000,6.0,deviant,1,forward to the competent authority,Random swap,,,
2771451.0,forward to the competent authority,2010-11-30 15:22:44.000,6.0,deviant,0,,,,,
2771451.0,forward to the competent authority,2010-11-30 15:22:44.000,6.0,deviant,1,send confirmation receipt,Random swap,,,
2771451.0,regular procedure without MER,2010-11-30 15:50:14.000,6.0,deviant,0,,,,,
2771451.0,send procedure confirmation,2010-11-30 15:50:30.000,6.0,deviant,0,,,,,
2771451.0,send procedure confirmation,2010-11-30 15:50:30.000,6.0,deviant,1,send procedure confirmation,Random delete (for augmentation only),,,
2771451.0,extend procedure term,2010-11-30 15:50:50.000,6.0,deviant,0,,,,,
2771451.0,registrer date of publishing received request,2010-11-30 15:50:56.000,6.0,deviant,0,,,,,
2771451.0,WAW permit aspect,2010-11-30 15:51:22.000,6.0,deviant,0,,,,,
2771451.0,applicant is stakeholder,2010-11-30 15:51:36.000,6.0,deviant,0,,,,,
2771451.0,inform BAG administrator,2010-11-30 15:51:36.000,6.0,deviant,0,,,,,
2771451.0,terminate on request,2010-11-30 15:51:49.000,6.0,deviant,0,,,,,
2771451.0,terminate on request,2010-11-30 15:51:49.000,6.0,deviant,1,treat subcases completeness,Random swap,,,
2771451.0,treat subcases completeness,2010-11-30 15:52:23.000,6.0,deviant,0,,,,,
2771451.0,treat subcases completeness,2010-11-30 15:52:23.000,6.0,deviant,1,terminate on request,Random swap,,,
2771451.0,subcases completeness completed,2010-11-30 15:52:28.000,6.0,deviant,0,,,,,
2771451.0,subcases completeness completed,2010-11-30 15:52:28.000,6.0,deviant,1,subcases completeness completed,Random delete (for augmentation only),,,
2771451.0,activities regular procedure,2010-11-30 15:53:02.000,6.0,deviant,0,,,,,
2771451.0,procedure change,2010-11-30 15:53:02.000,6.0,deviant,0,,,,,
2771451.0,regular procedure applies,2010-11-30 15:53:04.000,6.0,deviant,0,,,,,
2771451.0,resume completeness subcases,2010-11-30 15:53:04.000,6.0,deviant,0,,,,,
2771451.0,send procedure confirmation,2010-11-30 15:53:04.000,6.0,deviant,0,,,,,
2771451.0,send procedure confirmation,2010-11-30 15:53:04.000,6.0,deviant,1,request complete,Random swap,,,
2771451.0,request complete,2010-11-30 15:53:24.000,6.0,deviant,0,,,,,
2771451.0,send letter in progress,2010-11-30 15:53:24.000,6.0,deviant,0,,,,,
2771451.0,request complete,2010-11-30 15:53:24.000,6.0,deviant,1,send procedure confirmation,Random swap,,,
2771451.0,term for supplying missing data,2010-11-30 15:54:00.000,6.0,deviant,0,,,,,
2771451.0,retrieve missing data,2010-11-30 15:54:10.000,6.0,deviant,0,,,,,
2771451.0,receive additional information,2010-11-30 15:55:36.000,6.0,deviant,0,,,,,
2771451.0,MER present in supplement,2010-12-01 09:52:59.000,2670601.0,deviant,0,,,,,
2771451.0,WAW permit aspect,2010-12-01 09:53:03.000,2670601.0,deviant,0,,,,,
2771451.0,treat subcases completeness,2010-12-01 09:53:11.000,2670601.0,deviant,0,,,,,
2771451.0,subcases completeness completed,2010-12-01 09:53:14.000,2670601.0,deviant,0,,,,,
2771451.0,subcases completeness completed,2010-12-01 09:53:14.000,2670601.0,deviant,1,subcases completeness completed,Random delete (for augmentation only),,,
2771451.0,activities regular procedure,2010-12-01 09:53:19.000,2670601.0,deviant,0,,,,,
2771451.0,procedure change,2010-12-01 09:53:19.000,2670601.0,deviant,0,,,,,
2771451.0,regular procedure applies,2010-12-01 09:53:21.000,2670601.0,deviant,0,,,,,
2771451.0,resume completeness subcases,2010-12-01 09:53:21.000,2670601.0,deviant,0,,,,,
2771451.0,send procedure confirmation,2010-12-01 09:53:21.000,2670601.0,deviant,0,,,,,
2771451.0,phase application receptive,2010-12-01 09:54:00.000,2670601.0,deviant,0,,,,,
2771451.0,request complete,2010-12-01 09:54:00.000,2670601.0,deviant,0,,,,,
2771451.0,send letter in progress,2010-12-01 09:54:00.000,2670601.0,deviant,0,,,,,
2771451.0,send letter in progress,2010-12-01 09:54:00.000,2670601.0,deviant,0,,,,,
2771451.0,send letter in progress,2010-12-01 09:54:00.000,2670601.0,deviant,1,send letter in progress,Random swap,,,
2771451.0,send letter in progress,2010-12-01 09:54:00.000,2670601.0,deviant,1,send letter in progress,Random swap,,,
2771451.0,WAW permit aspect,2010-12-01 09:54:05.000,2670601.0,deviant,0,,,,,
2771451.0,WAW permit aspect,2010-12-01 09:54:05.000,2670601.0,deviant,1,WAW permit aspect,Random delete (for augmentation only),,,
2771451.0,treat subcases content,2010-12-01 09:54:08.000,2670601.0,deviant,0,,,,,
2771451.0,completed subcases content,2010-12-01 09:54:12.000,2670601.0,deviant,0,,,,,
2771451.0,article 34  WABO applies,2010-12-01 09:54:17.000,2670601.0,deviant,0,,,,,
2771451.0,assessment of content completed,2010-12-01 09:54:19.000,2670601.0,deviant,0,,,,,
2771451.0,phase advice known,2010-12-01 09:54:19.000,2670601.0,deviant,0,,,,,
2771451.0,grounds for refusal,2010-12-01 09:54:22.000,2670601.0,deviant,0,,,,,
2771451.0,grounds for refusal,2010-12-01 09:54:22.000,2670601.0,deviant,1,ask stakeholders views,Random swap,,,
2771451.0,ask stakeholders views,2010-12-01 09:54:39.000,2670601.0,deviant,0,,,,,
2771451.0,ask stakeholders views,2010-12-01 09:54:39.000,2670601.0,deviant,1,grounds for refusal,Random swap,,,
2771451.0,suspension ground applicable,2010-12-01 09:54:45.000,2670601.0,deviant,0,,,,,
2771451.0,by law,2010-12-01 09:54:47.000,2670601.0,deviant,0,,,,,
2771451.0,creating environmental permit decision,2010-12-01 09:54:47.000,2670601.0,deviant,0,,,,,
2771451.0,creating environmental permit decision,2010-12-01 09:54:47.000,2670601.0,deviant,1,creating environmental permit decision,Random delete (for augmentation only),,,
2771451.0,enter senddate decision environmental permit,2010-12-05 23:00:00.000,560890.0,deviant,0,,,,,
2771451.0,register date environmental permit decision,2010-12-05 23:00:00.000,560890.0,deviant,0,,,,,
2771451.0,decision date prior to decision,2010-12-06 08:06:21.000,560890.0,deviant,0,,,,,
2771451.0,generating decision environmental permit,2010-12-06 08:06:21.000,560890.0,deviant,0,,,,,
2771451.0,decision date prior to decision,2010-12-06 08:06:21.000,560890.0,deviant,1,decision date prior to decision,Random delete (for augmentation only),,,
2771451.0,register objection and appeal periods,2010-12-06 08:09:03.000,560890.0,deviant,0,,,,,
2771451.0,transcript decision environmental permit to stakeholders,2010-12-06 09:00:26.000,560890.0,deviant,0,,,,,
