Case,Activity,Timestamp,Resource,Injection,Aug,augmented_activity,semantic_reason,resource,case,diagnose
15.0,Perform checks,2025-05-31 14:52:54,Clerk-000001,,0,,,,,
15.0,Make decision,2025-05-31 22:07:24,Manager-000004,,0,,,,,
15.0,notify reject,NaT,Manager-000006,,0,,,,,
15.0,time out,NaT,,,0,,,,,
15.0,EVENT 13 END,NaT,,,0,,,,,
15.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
15.0,New online application received,NaT,,,0,,,,,
15.0,notify reject,NaT,Manager-000006,,1,notify reject,Random delete (for augmentation only),,,
19.0,EVENT 13 END,2025-05-31 07:11:06,,,0,,,,,
19.0,Make decision,2025-05-31 12:46:42,Manager-000005,,0,,,,,
19.0,notify reject,2025-05-31 12:59:24,Manager-000003,,0,,,,,
19.0,notify reject,2025-05-31 12:59:24,Manager-000003,,1,Check for completeness,Random swap,,,
19.0,Check for completeness,2025-05-31 18:58:18,Clerk-000001,,0,,,,,
19.0,New online application received,2025-05-31 18:58:18,,,0,,,,,
19.0,Check for completeness,2025-05-31 18:58:18,Clerk-000001,,1,notify reject,Random swap,,,
19.0,Check for completeness,2025-05-31 18:58:18,Clerk-000001,,1,Check for completeness,Random delete (for augmentation only),,,
19.0,Request info,2025-05-31 22:09:54,Manager-000006,,0,,,,,
19.0,info received,NaT,,,0,,,,,
19.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
19.0,info received,NaT,,,0,,,,,
19.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
19.0,review request received,NaT,,,0,,,,,
19.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
19.0,Perform checks,NaT,Clerk-000001,,0,,,,,
19.0,Request info,NaT,Manager-000005,,0,,,,,
19.0,Perform checks,NaT,Clerk-000005,,0,,,,,
19.0,Make decision,NaT,Manager-000003,,0,,,,,
19.0,Notify accept,NaT,Manager-000004,,0,,,,,
19.0,Deliver card,NaT,Manager-000001,,0,,,,,
19.0,Perform checks,NaT,Clerk-000005,,1,Perform checks,Random delete (for augmentation only),,,
22.0,Request info,2025-05-31 00:23:06,Manager-000005,,0,,,,,
22.0,Request info,2025-05-31 00:23:06,Manager-000005,,1,Request info,Random delete (for augmentation only),,,
22.0,info received,2025-05-31 05:00:42,,,0,,,,,
22.0,Check for completeness,2025-05-31 05:10:42,Clerk-000002,,0,,,,,
22.0,time out,2025-05-31 05:34:24,,,0,,,,,
22.0,EVENT 13 END,2025-05-31 05:44:24,,,0,,,,,
22.0,Request info,2025-05-31 06:20:24,Manager-000003,,0,,,,,
22.0,Request info,2025-05-31 06:20:24,Manager-000003,,1,Request info,Random delete (for augmentation only),,,
22.0,Check for completeness,2025-05-31 09:37:06,Clerk-000004,,0,,,,,
22.0,New online application received,2025-05-31 09:37:06,,,0,,,,,
22.0,info received,2025-05-31 19:05:48,,,0,,,,,
22.0,Check for completeness,2025-05-31 19:15:48,Clerk-000001,,0,,,,,
22.0,Request info,NaT,Manager-000006,,0,,,,,
22.0,info received,NaT,,,0,,,,,
22.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
22.0,Perform checks,NaT,Clerk-000002,,0,,,,,
22.0,Make decision,NaT,Manager-000001,,0,,,,,
22.0,notify reject,NaT,Manager-000004,,0,,,,,
22.0,info received,NaT,,,0,,,,,
22.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
22.0,Request info,NaT,Manager-000006,,0,,,,,
23.0,notify reject,2025-05-31 03:41:48,Manager-000003,,0,,,,,
23.0,review request received,2025-05-31 17:46:48,,,0,,,,,
23.0,Check for completeness,2025-05-31 17:56:48,Clerk-000005,,0,,,,,
23.0,Perform checks,2025-05-31 21:12:30,Clerk-000001,,0,,,,,
23.0,Make decision,2025-05-31 21:30:12,Manager-000005,,0,,,,,
23.0,Notify accept,NaT,Manager-000006,,0,,,,,
23.0,Deliver card,NaT,Manager-000001,,0,,,,,
23.0,EVENT 13 END,NaT,,,0,,,,,
23.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
23.0,New online application received,NaT,,,0,,,,,
23.0,Perform checks,NaT,Clerk-000003,,0,,,,,
