Case,Activity,Timestamp,Resource,label
2760925,register submission date request,2010-10-04 22:00:00,560872,deviant
2760925,phase application received,2010-10-07 12:57:14,560872,deviant
2771451,register submission date request,2010-10-05 22:00:00,6,deviant
2771451,enter senddate procedure confirmation,2010-10-18 22:00:00,2670601,deviant
2771451,subcases completeness completed,2010-10-18 22:00:00,2670601,deviant
2771451,enter senddate acknowledgement,2010-11-17 23:00:00,6,deviant
2771451,enter senddate retrieve missing data,2010-11-17 23:00:00,6,deviant
2771451,enter receipt of additional data,2010-11-21 23:00:00,6,deviant
2771451,enter senddate procedure confirmation,2010-11-23 23:00:00,6,deviant
2771451,registrer date of publishing received request,2010-11-24 23:00:00,6,deviant
2771451,enter senddate procedure confirmation,2010-11-25 23:00:00,6,deviant
2771451,subcases completeness completed,2010-11-25 23:00:00,6,deviant
2771451,phase application received,2010-11-30 15:21:56,6,deviant
2771451,reception through OLO,2010-11-30 15:22:02,6,deviant
2771451,send confirmation receipt,2010-11-30 15:22:02,6,deviant
2771451,send confirmation receipt,2010-11-30 15:22:26,6,deviant
2771451,forward to the competent authority,2010-11-30 15:22:44,6,deviant
2771451,regular procedure without MER,2010-11-30 15:50:14,6,deviant
2771451,send procedure confirmation,2010-11-30 15:50:30,6,deviant
2771451,extend procedure term,2010-11-30 15:50:50,6,deviant
2771451,registrer date of publishing received request,2010-11-30 15:50:56,6,deviant
2771451,WAW permit aspect,2010-11-30 15:51:22,6,deviant
2771451,applicant is stakeholder,2010-11-30 15:51:36,6,deviant
2771451,inform BAG administrator,2010-11-30 15:51:36,6,deviant
2771451,terminate on request,2010-11-30 15:51:49,6,deviant
2771451,treat subcases completeness,2010-11-30 15:52:23,6,deviant
2771451,subcases completeness completed,2010-11-30 15:52:28,6,deviant
2771451,activities regular procedure,2010-11-30 15:53:02,6,deviant
2771451,procedure change,2010-11-30 15:53:02,6,deviant
2771451,regular procedure applies,2010-11-30 15:53:04,6,deviant
2771451,resume completeness subcases,2010-11-30 15:53:04,6,deviant
2771451,send procedure confirmation,2010-11-30 15:53:04,6,deviant
2771451,request complete,2010-11-30 15:53:24,6,deviant
2771451,send letter in progress,2010-11-30 15:53:24,6,deviant
2771451,term for supplying missing data,2010-11-30 15:54:00,6,deviant
2771451,retrieve missing data,2010-11-30 15:54:10,6,deviant
2771451,receive additional information,2010-11-30 15:55:36,6,deviant
2771451,MER present in supplement,2010-12-01 09:52:59,2670601,deviant
2771451,WAW permit aspect,2010-12-01 09:53:03,2670601,deviant
2771451,treat subcases completeness,2010-12-01 09:53:11,2670601,deviant
2771451,subcases completeness completed,2010-12-01 09:53:14,2670601,deviant
2771451,activities regular procedure,2010-12-01 09:53:19,2670601,deviant
2771451,procedure change,2010-12-01 09:53:19,2670601,deviant
2771451,regular procedure applies,2010-12-01 09:53:21,2670601,deviant
2771451,resume completeness subcases,2010-12-01 09:53:21,2670601,deviant
2771451,send procedure confirmation,2010-12-01 09:53:21,2670601,deviant
2771451,phase application receptive,2010-12-01 09:54:00,2670601,deviant
2771451,request complete,2010-12-01 09:54:00,2670601,deviant
2771451,send letter in progress,2010-12-01 09:54:00,2670601,deviant
2771451,send letter in progress,2010-12-01 09:54:00,2670601,deviant
2771451,WAW permit aspect,2010-12-01 09:54:05,2670601,deviant
2771451,treat subcases content,2010-12-01 09:54:08,2670601,deviant
2771451,completed subcases content,2010-12-01 09:54:12,2670601,deviant
2771451,article 34  WABO applies,2010-12-01 09:54:17,2670601,deviant
2771451,assessment of content completed,2010-12-01 09:54:19,2670601,deviant
2771451,phase advice known,2010-12-01 09:54:19,2670601,deviant
2771451,grounds for refusal,2010-12-01 09:54:22,2670601,deviant
2771451,ask stakeholders views,2010-12-01 09:54:39,2670601,deviant
2771451,suspension ground applicable,2010-12-01 09:54:45,2670601,deviant
2771451,by law,2010-12-01 09:54:47,2670601,deviant
2771451,creating environmental permit decision,2010-12-01 09:54:47,2670601,deviant
2771451,enter senddate decision environmental permit,2010-12-05 23:00:00,560890,deviant
2771451,register date environmental permit decision,2010-12-05 23:00:00,560890,deviant
2771451,decision date prior to decision,2010-12-06 08:06:21,560890,deviant
2771451,generating decision environmental permit,2010-12-06 08:06:21,560890,deviant
2771451,register objection and appeal periods,2010-12-06 08:09:03,560890,deviant
2771451,transcript decision environmental permit to stakeholders,2010-12-06 09:00:26,560890,deviant
2771451,generate publication document decision environmental permit,2010-12-06 09:03:59,560890,deviant
2771451,enter date publication decision environmental permit,2010-12-14 23:00:00,560890,deviant
2782209,register submission date request,2010-10-05 22:00:00,560925,regular
2782209,phase application received,2010-10-12 07:54:56,560925,regular
2782209,reception through OLO,2010-10-12 07:56:10,560925,regular
2782209,send confirmation receipt,2010-10-12 07:56:10,560925,regular
2782209,forward to the competent authority,2010-10-12 07:56:15,560925,regular
2782209,regular procedure without MER,2010-10-12 07:56:28,560925,regular
2782209,enter senddate procedure confirmation,2010-10-17 22:00:00,560912,regular
2782209,send procedure confirmation,2010-10-18 13:56:37,560912,regular
2782209,applicant is stakeholder,2010-10-18 13:56:54,560912,regular
2782209,inform BAG administrator,2010-10-18 13:56:54,560912,regular
2782209,registrer date of publishing received request,2010-10-18 13:57:23,560912,regular
2782209,registrer date of publishing received request,2010-10-26 22:00:00,560912,regular
2782209,treat subcases completeness,2010-11-15 08:03:28,560890,regular
2782209,WAW permit aspect,2010-11-15 08:04:27,560890,regular
2782209,terminate on request,2010-11-15 08:04:43,560890,regular
2782209,extend procedure term,2010-11-15 08:05:04,560890,regular
2782209,subcases completeness completed,2010-11-15 08:20:23,560890,regular
2782209,activities regular procedure,2010-11-15 10:47:28,560890,regular
2782209,procedure change,2010-11-15 10:47:28,560890,regular
2782209,regular procedure applies,2010-11-15 10:53:09,560890,regular
2782209,resume completeness subcases,2010-11-15 10:53:09,560890,regular
2782209,send procedure confirmation,2010-11-15 10:53:09,560890,regular
2782209,request complete,2010-11-15 10:54:18,560890,regular
2782209,send letter in progress,2010-11-15 10:54:18,560890,regular
2782209,phase application receptive,2010-11-15 10:54:19,560890,regular
2782209,send letter in progress,2010-11-15 10:54:19,560890,regular
2782209,WAW permit aspect,2010-11-15 10:54:26,560890,regular
2782209,treat subcases content,2010-11-15 10:54:34,560890,regular
2782209,completed subcases content,2010-11-15 10:54:39,560890,regular
2782209,article 34  WABO applies,2010-11-15 10:55:18,560890,regular
2782209,assessment of content completed,2010-11-15 10:56:17,560890,regular
2782209,phase advice known,2010-11-15 10:56:18,560890,regular
2782209,grounds for refusal,2010-11-15 10:56:23,560890,regular
2782209,ask stakeholders views,2010-11-15 11:06:58,560890,regular
2782209,suspension ground applicable,2010-11-15 11:07:03,560890,regular
