Case,Activity,Timestamp,Resource,Injection
,,,,
15,Check for completeness,58:01.9,Clerk-000003,
,,,,
15,New online application received,58:01.9,,
,,,,
15,Perform checks,14:52.9,Clerk-000001,
,,,,
15,Make decision,22:07.4,Manager-000004,
,,,,
15,notify reject,32:32.2,Manager-000006,
,,,,
15,time out,39:23.5,,
,,,,
15,EVENT 13 END,39:33.5,,
,,,,
19,Check for completeness,18:58.3,Clerk-000001,
,,,,
19,New online application received,18:58.3,,
,,,,
19,Request info,22:09.9,Manager-000006,
,,,,
19,info received,32:28.9,,
,,,,
19,Check for completeness,32:38.9,Clerk-000003,
,,,,
19,Perform checks,48:41.8,Clerk-000001,
,,,,
19,Make decision,12:46.7,Manager-000005,
,,,,
19,notify reject,12:59.4,Manager-000003,
,,,,
19,review request received,40:21.4,,
,,,,
19,Check for completeness,40:31.4,Clerk-000004,
,,,,
19,Request info,49:07.6,Manager-000005,
,,,,
19,info received,26:19.5,,
,,,,
19,Check for completeness,26:29.5,Clerk-000003,
,,,,
19,Perform checks,49:15.5,Clerk-000005,
,,,,
19,Make decision,56:51.7,Manager-000003,
,,,,
19,Notify accept,57:54.1,Manager-000004,
,,,,
19,Deliver card,59:46.0,Manager-000001,
,,,,
19,EVENT 13 END,07:11.1,,
,,,,
22,Check for completeness,09:37.1,Clerk-000004,
,,,,
22,New online application received,09:37.1,,
,,,,
22,Request info,59:31.1,Manager-000006,
,,,,
22,info received,05:00.7,,
,,,,
22,Check for completeness,05:10.7,Clerk-000002,
,,,,
22,Request info,06:20.4,Manager-000003,
,,,,
22,info received,56:49.5,,
,,,,
22,Check for completeness,56:59.5,Clerk-000005,
,,,,
22,Request info,00:23.1,Manager-000005,
,,,,
22,info received,19:05.8,,
,,,,
22,Check for completeness,19:15.8,Clerk-000001,
,,,,
22,Request info,28:11.1,Manager-000006,
,,,,
22,info received,43:56.0,,
,,,,
22,Check for completeness,44:06.0,Clerk-000004,
,,,,
22,Perform checks,44:39.5,Clerk-000002,
,,,,
22,Make decision,46:31.8,Manager-000001,
,,,,
22,notify reject,54:59.7,Manager-000004,
,,,,
22,time out,05:34.4,,
,,,,
